cgpa,aptitude,communication,internship,training,coding,projects,placed
5.19,1,0,1,1,3,0,1
6.19,3,2,1,1,3,0,1
4.08,1,2,0,0,3,0,0
8.87,0,2,0,0,1,2,1
5.45,0,0,1,0,0,0,0
4.84,3,1,0,0,3,0,1
6.43,2,1,0,0,3,2,1
9.0,1,3,1,0,3,1,1
9.5,3,2,1,0,0,2,1
8.95,1,0,1,0,0,0,1
9.61,2,1,0,0,2,0,1
5.84,2,1,0,1,0,1,1
7.69,0,0,0,0,3,3,1
7.75,0,1,0,0,3,1,1
7.01,2,2,0,1,3,2,1
7.85,2,3,1,1,3,1,1
9.88,2,3,1,1,1,0,1
5.58,2,2,1,1,0,2,1
7.72,3,2,0,1,0,1,1
5.51,2,0,0,1,1,2,1
8.22,0,0,0,0,0,2,1
8.9,3,3,0,0,0,0,1
8.31,1,1,0,0,3,3,1
5.09,2,0,0,1,0,3,1
9.39,3,1,0,0,1,2,1
4.98,2,3,0,0,3,0,1
9.2,1,1,1,1,3,0,1
4.95,3,3,1,1,1,0,1
5.4,0,3,0,0,3,1,1
6.06,0,3,0,1,3,3,1
6.79,3,2,0,1,3,1,1
7.66,3,3,0,1,1,3,1
6.2,0,0,1,1,1,2,1
5.32,2,3,0,0,2,2,1
9.53,0,2,1,1,1,2,1
9.71,3,2,0,0,2,2,1
5.37,3,1,1,1,3,0,1
9.66,1,2,0,0,1,3,1
7.64,0,1,1,1,1,2,1
9.39,2,2,0,1,1,1,1
9.73,3,0,0,1,0,1,1
7.47,3,1,0,1,0,0,1
7.04,3,3,1,0,3,2,1
6.03,2,1,0,1,1,1,1
7.33,2,3,1,1,3,1,1
5.98,0,3,1,0,2,2,1
7.51,2,1,1,0,0,0,1
8.97,0,1,0,1,2,2,1
7.1,0,3,1,1,2,3,1
5.25,2,2,1,1,2,3,1
9.61,1,1,0,1,2,1,1
5.99,3,1,1,1,2,2,1
6.06,3,1,1,0,0,2,1
9.81,2,0,0,1,0,3,1
9.95,0,0,0,0,0,0,1
6.56,3,2,1,0,0,0,1
9.28,2,0,0,0,1,2,1
8.2,3,3,1,1,3,0,1
7.43,2,0,1,0,1,2,1
9.96,3,0,0,1,1,1,1
9.35,3,0,1,0,0,2,1
8.75,2,0,1,1,2,0,1
6.54,3,2,0,1,3,0,1
5.16,2,0,0,1,2,0,0
4.35,0,2,0,1,3,2,1
8.66,3,2,0,1,3,0,1
7.5,1,2,1,0,3,3,1
8.58,2,3,1,1,3,1,1
8.13,0,1,1,0,0,0,1
9.71,0,2,1,0,0,1,1
8.53,3,1,0,0,2,0,1
9.15,0,2,0,0,3,0,1
7.51,0,1,0,0,3,1,1
4.12,2,0,1,0,2,1,0
7.74,0,3,1,1,0,3,1
6.31,0,0,1,0,2,3,1
5.5,2,1,0,1,3,2,1
8.21,3,1,1,0,1,0,1
6.91,1,0,1,1,3,3,1
4.93,0,0,0,1,3,2,0
8.18,2,3,1,1,0,3,1
7.76,3,3,0,0,0,2,1
7.88,0,0,0,1,3,3,1
4.08,2,0,1,1,0,0,0
8.1,3,3,0,1,2,3,1
5.19,0,0,0,1,1,0,0
6.64,2,1,1,1,2,2,1
7.97,2,0,0,0,0,3,1
6.71,1,1,0,1,0,3,1
5.09,3,1,1,0,1,3,1
8.13,0,0,0,0,0,3,1
4.01,0,1,1,0,1,1,0
9.17,1,1,1,1,2,0,1
9.78,2,1,1,0,0,1,1
7.32,1,3,0,1,3,1,1
5.1,3,2,1,0,2,2,1
5.31,2,3,1,1,2,3,1
5.24,3,0,1,0,3,0,1
9.6,0,1,0,1,2,1,1
5.24,2,1,1,1,2,2,1
9.73,1,2,0,0,0,3,1
9.41,1,1,0,1,0,0,1
5.85,0,2,1,1,3,1,1
9.73,1,2,0,0,0,1,1
9.35,1,1,0,0,1,0,1
8.79,1,2,0,1,2,3,1
9.97,3,0,0,0,1,3,1
9.29,0,0,0,0,3,1,1
8.54,2,1,1,0,2,1,1
4.18,2,1,0,1,1,3,1
9.37,0,3,1,0,3,3,1
7.73,0,2,1,0,3,2,1
9.61,3,0,0,1,2,1,1
9.81,3,3,0,1,1,1,1
5.63,1,2,0,0,1,2,1
4.53,0,3,1,1,0,1,0
5.02,1,3,0,1,2,0,1
6.67,2,1,1,1,0,0,1
4.95,1,3,1,1,3,0,1
6.8,2,2,0,0,0,1,1
5.75,2,2,1,1,2,1,1
8.21,0,2,0,1,1,0,1
9.29,1,3,0,0,2,0,1
7.95,0,2,0,1,0,1,1
7.28,2,3,0,1,2,1,1
7.18,0,3,1,1,2,1,1
5.78,0,2,1,1,3,2,1
5.87,2,3,1,0,2,0,1
9.14,2,3,0,0,1,2,1
8.58,3,2,1,1,2,2,1
5.8,3,1,1,1,3,0,1
8.54,0,3,0,1,3,0,1
4.57,2,2,0,0,0,3,1
4.61,3,2,1,1,1,2,1
6.42,0,1,0,1,3,3,1
6.59,1,0,1,1,3,0,1
4.24,2,2,1,0,2,2,1
6.04,1,1,1,1,3,3,1
7.3,0,3,1,0,0,3,1
6.24,0,2,0,1,0,3,1
4.88,0,0,1,1,0,2,0
6.53,2,2,1,0,3,2,1
7.98,0,2,1,0,1,1,1
4.74,1,0,1,1,1,1,0
8.73,2,3,0,0,2,1,1
6.65,0,2,0,1,1,1,1
9.2,0,0,0,0,1,1,1
6.81,2,1,1,1,0,1,1
8.88,0,1,0,1,1,0,1
4.17,3,0,0,1,1,2,0
6.23,1,2,1,0,3,2,1
7.21,3,2,0,0,3,1,1
9.81,0,1,1,1,0,2,1
7.91,3,0,0,1,2,2,1
8.74,1,1,1,1,1,0,1
7.45,1,2,1,1,1,0,1
9.15,1,1,0,0,2,3,1
7.52,0,1,0,1,2,2,1
9.8,3,1,1,1,3,2,1
9.33,2,3,1,1,3,2,1
7.72,2,3,0,1,0,0,1
5.72,2,2,0,1,2,3,1
5.26,1,1,0,1,2,3,1
5.92,3,3,1,0,3,0,1
8.88,0,2,1,1,0,2,1
8.58,2,2,1,1,1,0,1
5.3,1,3,1,1,3,2,1
6.93,0,2,1,1,3,2,1
5.15,1,3,0,0,2,1,1
4.02,2,3,0,1,2,0,1
4.7,2,2,1,0,3,1,1
6.94,0,2,0,1,0,0,0
7.18,3,0,0,0,2,2,1
6.31,0,3,0,0,2,3,1
7.75,2,2,0,0,0,1,1
7.07,0,0,0,0,0,2,0
5.84,2,3,0,1,2,0,1
9.78,3,0,0,1,0,1,1
9.57,3,2,0,1,2,3,1
6.6,3,1,1,0,2,0,1
6.17,0,2,1,0,3,0,1
4.89,1,3,1,1,1,0,1
5.24,0,2,1,1,1,3,1
8.89,2,0,1,0,0,3,1
7.05,0,1,1,0,2,1,1
6.51,2,0,1,1,3,0,1
9.73,0,2,1,0,2,2,1
5.3,3,3,1,1,2,2,1
9.91,3,3,0,1,0,2,1
9.07,0,1,1,1,2,3,1
5.04,0,3,1,1,0,3,1
9.35,0,3,1,0,3,2,1
9.75,2,2,1,0,3,0,1
4.68,3,1,0,1,3,1,1
4.04,1,2,0,0,2,2,0
4.06,3,0,0,0,1,1,0
7.55,3,1,0,0,3,2,1
7.25,3,2,1,1,0,1,1
9.57,1,2,1,1,1,0,1
6.75,3,1,0,0,0,2,1
9.21,2,2,1,1,3,2,1
5.37,0,1,1,0,1,0,0
9.77,2,2,0,1,3,2,1
8.77,3,0,0,1,2,3,1
8.07,1,3,0,0,0,3,1
8.59,2,2,0,1,1,2,1
6.86,0,2,0,0,0,0,0
7.99,2,1,0,1,2,3,1
4.88,3,3,1,0,2,3,1
6.98,2,0,1,1,3,3,1
8.06,2,3,1,1,2,2,1
9.99,3,1,1,0,3,2,1
9.28,3,1,1,0,3,2,1
8.57,3,2,1,1,3,2,1
8.23,0,2,0,1,1,2,1
5.32,0,3,1,0,2,0,1
7.37,1,1,0,1,0,1,1
5.67,2,3,0,0,0,2,1
9.84,2,3,0,1,2,2,1
6.98,3,0,0,0,1,3,1
4.37,2,0,1,0,3,3,1
6.1,2,3,1,0,3,3,1
6.81,2,3,0,1,3,0,1
7.74,1,2,0,1,2,3,1
8.42,0,2,1,0,3,3,1
7.66,1,2,0,1,0,2,1
7.44,3,0,0,0,2,1,1
6.69,1,0,0,0,1,3,1
6.65,3,3,1,0,3,1,1
7.65,0,1,0,1,2,3,1
4.15,0,1,1,0,2,1,0
5.15,0,0,0,0,1,2,0
6.47,0,2,0,0,3,2,1
8.48,3,0,1,0,1,3,1
7.08,1,0,0,0,2,2,1
5.44,1,3,0,1,2,0,1
9.5,0,3,1,0,1,3,1
4.27,3,1,1,0,1,0,0
7.74,0,3,0,1,2,3,1
8.89,3,3,0,1,2,3,1
4.14,0,3,0,0,1,3,0
4.86,3,2,1,0,3,0,1
5.33,3,0,1,1,2,3,1
9.21,0,1,0,1,2,2,1
9.94,1,2,1,1,3,3,1
6.25,3,1,1,1,0,2,1
8.5,0,0,0,0,2,1,1
6.87,1,3,1,0,1,1,1
7.54,2,2,1,1,0,3,1
8.42,0,2,0,1,3,0,1
5.95,2,3,0,1,3,0,1
7.34,0,2,0,0,2,0,1
4.55,3,1,0,1,1,3,1
7.1,2,2,0,1,2,0,1
4.23,0,0,0,0,1,2,0
8.1,1,0,0,0,0,0,0
7.87,2,1,0,1,3,3,1
7.47,0,1,1,1,2,0,1
4.09,3,1,1,1,3,3,1
5.23,1,1,0,1,1,3,1
9.23,1,2,0,1,2,1,1
5.93,0,0,0,0,1,0,0
5.19,2,0,0,1,0,0,0
8.37,1,3,1,1,3,2,1
9.15,2,2,1,1,3,3,1
6.18,0,0,1,1,1,1,0
6.24,1,1,1,1,0,2,1
9.11,2,2,0,1,3,3,1
7.36,0,3,1,0,1,1,1
9.95,1,2,0,0,1,0,1
4.75,3,2,0,1,0,1,1
9.94,3,0,1,1,0,0,1
4.92,0,1,0,0,0,0,0
4.24,1,1,0,1,0,3,0
7.3,1,0,1,0,0,1,1
9.62,0,0,1,1,1,0,1
7.26,0,3,1,1,3,2,1
4.98,2,0,1,0,0,0,0
5.8,1,2,1,0,3,1,1
7.19,2,3,0,0,1,3,1
9.07,3,3,0,0,2,3,1
9.94,2,1,1,1,0,1,1
5.89,1,2,1,0,3,2,1
7.74,3,1,0,1,0,0,1
7.62,2,0,1,1,3,3,1
8.88,0,0,0,0,1,2,1
6.19,1,3,0,0,0,3,1
9.37,0,2,0,1,1,0,1
4.13,3,0,0,0,0,2,0
4.17,1,2,0,1,1,3,1
8.67,1,1,1,0,1,1,1
4.1,3,3,0,0,0,0,0
5.47,2,2,1,0,1,1,1
8.64,0,3,0,0,2,3,1
6.49,2,2,1,0,3,0,1
5.46,0,2,1,0,2,1,1
4.06,2,3,0,0,3,3,1
7.91,2,3,0,1,3,2,1
7.51,3,0,0,0,3,1,1
8.2,3,3,1,0,2,3,1
9.87,1,3,1,0,2,0,1
4.22,2,1,1,1,1,2,1
5.11,2,0,0,0,3,2,1
9.02,3,0,0,1,2,0,1
6.46,2,3,1,1,1,1,1
4.97,2,0,1,1,1,3,1
4.37,0,0,1,0,2,3,0
5.23,3,0,1,0,2,1,1
7.45,2,0,1,0,1,0,1
5.87,0,0,1,0,1,3,1
7.27,1,0,0,0,3,3,1
6.8,0,0,0,0,0,3,0
4.3,3,0,1,1,0,1,0
5.02,3,3,0,0,3,2,1
4.96,0,0,1,0,2,0,0
6.55,1,0,1,0,1,1,1
9.96,0,0,0,1,3,0,1
5.97,3,0,1,1,1,1,1
8.0,3,2,1,1,1,1,1
7.54,2,1,1,0,2,1,1
5.79,0,0,1,1,1,2,1
9.89,0,1,0,1,3,0,1
8.1,1,3,1,0,2,0,1
8.9,0,3,1,1,2,3,1
7.41,0,3,0,1,3,1,1
8.76,1,0,1,0,3,0,1
4.2,0,0,1,1,1,0,0
7.72,0,2,1,0,0,1,1
4.78,0,0,1,0,2,0,0
7.6,3,0,1,0,2,3,1
4.89,1,3,1,1,1,0,1
8.83,1,1,0,0,0,1,1
8.12,0,3,1,1,1,0,1
9.92,0,0,1,0,1,3,1
9.19,3,0,1,1,0,3,1
5.62,1,3,1,1,3,3,1
9.71,0,2,0,0,2,3,1
7.75,0,1,0,0,2,3,1
5.02,0,2,0,1,0,1,0
8.11,0,0,1,1,0,0,1
9.26,3,3,0,1,3,1,1
7.27,0,1,1,1,3,0,1
9.81,0,0,1,0,2,2,1
9.02,3,2,0,1,2,0,1
5.0,0,1,1,0,3,0,0
9.03,3,0,1,1,2,3,1
8.12,2,0,1,0,0,1,1
5.69,1,1,1,0,2,3,1
4.94,0,2,0,0,3,0,0
9.09,2,0,1,0,2,2,1
5.36,0,3,0,1,3,3,1
8.81,3,2,0,0,3,2,1
8.95,2,3,0,1,0,2,1
7.52,0,0,0,0,1,3,1
4.24,1,2,0,1,1,2,0
7.71,2,3,1,1,1,1,1
9.69,1,1,1,0,1,1,1
8.02,2,3,0,1,3,2,1
5.72,2,2,1,1,1,3,1
9.96,3,2,1,0,2,1,1
4.92,3,1,0,1,2,2,1
6.79,0,0,0,0,3,2,1
5.24,2,0,0,1,0,1,0
4.59,1,3,0,1,0,3,1
9.7,1,3,1,1,3,3,1
4.07,2,2,1,0,2,2,1
9.31,3,1,1,1,2,0,1
5.38,1,0,0,0,3,1,1
5.54,0,1,0,1,3,3,1
7.37,0,0,0,0,2,2,1
7.97,2,2,1,0,3,3,1
8.33,0,0,1,1,0,3,1
4.5,1,3,1,0,2,2,1
4.81,2,0,0,1,2,2,1
6.92,3,0,1,0,1,0,1
5.31,2,3,1,1,0,0,1
8.26,1,3,0,0,2,0,1
8.46,3,2,1,1,2,2,1
5.79,0,3,0,0,2,3,1
8.46,2,3,0,1,2,3,1
7.17,0,0,1,1,3,0,1
4.75,1,1,0,0,3,0,0
4.74,2,2,0,0,1,3,1
7.69,0,3,1,0,3,0,1
6.83,2,2,0,1,0,0,1
9.95,3,3,0,1,0,0,1
5.52,0,2,0,1,3,3,1
8.99,2,0,1,1,0,1,1
4.29,3,3,0,1,0,0,0
9.31,3,1,1,1,3,1,1
8.01,3,0,1,1,0,2,1
6.1,0,1,1,1,1,2,1
5.42,1,0,1,1,1,1,0
5.06,1,2,0,0,1,3,1
6.93,3,3,1,1,2,1,1
6.15,1,2,0,0,3,1,1
4.88,1,3,0,1,3,2,1
5.69,2,2,1,1,3,2,1
5.02,3,2,1,1,2,3,1
6.36,0,1,0,0,1,3,1
6.8,2,1,0,1,0,2,1
4.17,1,3,0,1,0,0,0
9.5,1,1,1,1,2,2,1
6.69,0,3,1,0,3,1,1
6.26,3,2,0,0,1,2,1
8.97,0,3,0,1,3,1,1
4.33,3,0,1,0,1,1,0
4.95,1,0,0,0,1,2,0
4.18,0,3,1,1,1,3,1
4.25,0,2,1,1,0,3,0
4.91,2,1,0,0,0,2,0
4.65,3,1,1,1,0,0,0
7.87,1,3,1,0,0,3,1
7.2,1,2,0,0,2,0,1
9.1,1,1,0,1,1,3,1
8.95,0,3,1,1,3,3,1
8.15,0,3,0,0,3,0,1
8.79,3,1,1,0,0,0,1
6.22,0,3,1,0,3,0,1
4.63,0,3,1,0,0,2,0
8.98,1,1,0,1,1,1,1
8.14,3,2,1,1,2,0,1
6.42,3,2,1,1,2,3,1
6.09,2,2,1,1,0,2,1
8.8,1,0,1,0,3,0,1
6.01,3,1,0,1,1,0,1
8.59,3,1,0,1,3,2,1
6.96,2,0,0,0,3,1,1
9.84,0,3,0,1,3,1,1
7.85,2,0,0,1,0,0,1
5.89,0,0,0,1,1,3,1
5.29,0,3,0,1,0,0,0
6.73,1,0,1,1,0,3,1
5.07,0,1,1,1,0,1,0
6.54,2,1,0,0,0,2,1
9.64,1,2,1,1,0,0,1
8.72,2,1,1,0,2,0,1
8.78,3,3,0,1,2,2,1
9.26,1,3,1,1,1,3,1
8.83,3,3,0,0,2,2,1
4.79,2,3,0,1,3,3,1
6.55,2,1,1,1,3,2,1
9.71,3,1,0,0,3,2,1
8.87,0,0,1,1,3,3,1
9.84,2,3,1,0,3,0,1
7.73,2,2,1,1,1,3,1
8.72,1,1,0,0,1,3,1
7.41,0,1,1,0,3,1,1
6.48,0,3,0,1,3,3,1
5.37,0,2,1,1,2,3,1
9.47,1,2,0,0,0,1,1
4.98,0,2,1,1,2,2,1
4.59,2,0,0,1,3,1,1
7.52,2,0,0,1,3,3,1
4.58,0,1,1,1,1,2,0
5.42,3,2,1,1,3,1,1
5.74,1,1,0,1,0,2,0
5.6,2,2,0,0,0,0,0
6.87,3,3,0,1,0,2,1
4.09,3,1,0,1,2,2,1
5.98,0,2,1,1,3,3,1
5.37,2,3,0,0,1,1,1
5.99,3,1,1,1,3,0,1
8.73,0,2,1,0,2,3,1
6.45,1,3,0,0,2,3,1
9.47,0,0,1,0,1,1,1
4.13,3,2,1,0,1,0,1
6.88,2,2,0,1,1,0,1
5.32,3,0,0,1,2,2,1
8.05,2,0,0,1,0,2,1
6.3,2,2,1,0,1,1,1
9.04,0,0,0,0,2,2,1
6.61,3,3,0,1,0,2,1
6.91,1,3,0,1,3,0,1
6.16,0,2,0,0,0,3,1
7.0,3,0,0,0,3,1,1
8.51,3,3,0,0,2,2,1
6.79,0,0,1,1,2,2,1
7.07,0,0,1,1,1,3,1
4.37,3,2,0,0,3,0,1
8.21,2,2,1,1,2,1,1
5.96,3,1,1,0,2,2,1
8.3,0,1,0,1,2,2,1
8.03,0,0,0,1,0,3,1
4.31,0,2,1,1,1,2,0
9.82,0,1,1,1,0,3,1
6.78,2,3,0,1,2,2,1
5.11,0,3,1,1,0,2,1
8.84,2,0,0,1,3,3,1
4.05,2,1,1,1,1,1,0
9.58,3,1,0,0,3,3,1
5.25,1,1,1,1,2,1,1
9.34,3,0,1,1,3,0,1
4.91,1,0,1,0,3,2,1
9.13,1,1,1,0,0,0,1
6.01,0,2,0,0,0,3,1
4.98,1,3,1,0,0,0,0
5.42,3,1,0,1,3,0,1
9.82,0,1,1,0,1,3,1
8.64,3,1,1,1,2,2,1
9.54,2,1,1,0,1,1,1
6.12,1,3,1,1,0,3,1
9.55,2,0,0,1,3,1,1
8.38,0,3,1,1,2,0,1
7.16,3,0,0,0,2,2,1
7.94,3,1,0,1,2,2,1
9.93,1,1,0,0,1,1,1
7.51,3,0,1,1,2,3,1
9.22,0,2,0,1,2,3,1
9.48,1,3,0,1,1,2,1
6.48,0,2,0,1,1,0,0
6.89,1,2,0,0,1,2,1
8.6,1,1,0,0,3,1,1
8.13,1,2,1,1,1,2,1
6.44,1,3,1,0,2,0,1
7.74,0,3,1,1,1,1,1
5.11,1,0,1,0,0,1,0
4.02,3,3,0,0,1,1,1
6.22,1,2,0,0,3,2,1
9.87,0,1,1,0,1,1,1
4.28,2,0,1,0,1,2,0
7.28,2,0,1,1,3,3,1
6.33,0,2,1,0,1,3,1
4.04,0,0,0,1,1,3,0
6.86,1,1,0,1,0,1,1
6.71,1,3,1,1,2,0,1
5.53,2,0,0,0,1,1,0
6.68,3,3,0,0,3,1,1
4.38,3,1,0,1,3,2,1
7.37,0,3,0,1,1,2,1
7.23,3,2,1,0,2,3,1
7.86,1,3,0,1,1,2,1
6.92,2,0,0,1,3,0,1
8.18,3,1,0,1,2,0,1
5.0,3,0,0,1,1,2,1
8.24,0,1,1,0,0,0,1
8.17,0,1,1,0,3,2,1
9.42,2,0,0,1,1,1,1
7.97,2,0,1,0,0,2,1
8.02,1,3,1,0,0,0,1
6.23,2,0,0,0,3,2,1
7.07,3,3,1,1,0,0,1
7.12,0,0,0,0,3,3,1
8.57,1,3,1,1,2,2,1
4.65,3,1,1,0,0,3,1
9.74,3,2,1,0,2,1,1
4.19,2,2,1,1,2,3,1
6.69,1,3,0,0,2,3,1
5.96,0,3,0,0,0,1,0
8.64,2,1,1,1,2,1,1
6.5,2,3,0,0,2,3,1
7.29,0,0,0,0,2,3,1
9.76,3,0,0,1,0,2,1
6.65,3,0,1,0,2,1,1
9.65,0,2,1,1,3,2,1
5.03,1,0,1,1,0,3,0
4.4,1,2,1,0,2,3,1
8.95,1,3,0,0,0,3,1
9.84,1,1,1,0,2,3,1
7.51,2,2,0,0,1,2,1
4.9,0,1,0,0,3,1,0
5.36,1,1,0,1,2,1,1
6.29,2,3,1,1,2,3,1
7.92,3,1,0,0,1,0,1
5.4,1,3,0,1,2,0,1
6.08,2,1,0,1,0,3,1
7.73,0,0,0,0,2,0,1
9.43,1,0,0,0,3,2,1
7.02,1,3,1,0,0,1,1
5.51,0,0,1,1,3,0,1
8.82,1,1,0,1,0,2,1
4.84,0,0,0,0,1,2,0
7.79,2,0,0,0,1,2,1
4.87,3,1,0,0,1,0,0
5.31,1,3,1,0,1,2,1
4.88,3,3,0,0,0,3,1
7.25,1,0,0,1,2,1,1
8.26,3,2,0,0,2,1,1
7.96,3,2,0,0,2,1,1
7.43,1,2,0,1,3,1,1
7.05,2,3,1,1,1,1,1
9.34,2,1,0,1,1,2,1
9.0,1,3,0,0,1,3,1
5.89,1,3,0,0,2,1,1
9.98,3,3,1,0,3,1,1
8.48,3,2,0,1,0,2,1
9.57,1,0,0,0,3,0,1
5.29,2,3,0,1,0,3,1
8.69,2,3,0,1,3,1,1
8.1,2,2,0,0,3,2,1
8.42,1,0,0,0,1,0,1
8.11,3,3,1,0,2,1,1
6.3,3,0,1,0,1,3,1
9.33,2,0,0,1,3,0,1
7.79,1,3,1,1,3,0,1
5.21,2,2,1,1,3,2,1
4.56,1,3,1,1,2,1,1
4.68,3,2,0,1,3,1,1
6.11,0,3,1,0,3,2,1
6.09,1,3,1,1,3,1,1
4.02,0,3,0,1,2,0,0
6.72,2,3,0,1,1,3,1
8.3,1,3,1,0,3,0,1
5.56,3,3,1,1,1,3,1
7.66,3,0,0,1,0,0,1
9.08,0,1,1,0,3,2,1
8.31,2,1,1,0,2,1,1
7.86,0,3,0,0,3,1,1
7.87,1,3,0,0,0,0,1
6.25,0,2,0,0,2,3,1
5.5,0,0,1,1,1,0,0
7.26,1,2,0,0,3,2,1
4.89,2,3,1,1,3,3,1
4.41,2,1,1,0,0,3,1
6.97,1,0,0,1,0,0,0
9.84,1,1,0,0,0,3,1
8.37,1,0,1,0,3,1,1
9.48,1,2,1,1,3,1,1
9.69,0,1,0,0,1,0,1
6.21,2,2,0,0,2,1,1
5.58,2,2,1,0,1,0,1
5.83,1,3,1,0,2,0,1
5.72,1,3,1,0,0,3,1
5.19,0,2,0,1,0,3,0
4.22,0,0,0,1,3,2,0
7.92,3,0,0,0,2,2,1
4.57,0,1,1,1,2,0,0
9.43,3,1,1,0,0,2,1
6.39,0,1,1,0,0,3,1
9.6,3,0,0,1,1,0,1
7.93,2,2,0,1,1,2,1
5.95,1,3,0,0,0,2,1
5.06,2,0,0,0,1,0,0
9.78,1,3,1,0,2,0,1
6.7,2,2,1,1,2,0,1
4.65,3,2,0,0,2,2,1
6.99,0,3,1,0,3,3,1
5.34,0,1,1,0,2,2,1
9.11,1,1,1,1,0,0,1
6.21,1,2,1,0,2,0,1
4.28,0,3,0,0,0,1,0
6.35,3,0,1,1,2,2,1
4.05,1,3,0,1,0,0,0
6.3,3,3,0,1,1,3,1
4.03,1,0,0,0,0,1,0
7.48,3,0,0,0,0,0,1
5.34,2,0,1,0,1,3,1
4.7,3,2,0,1,1,1,1
9.98,0,0,1,1,1,0,1
5.0,0,1,1,1,0,2,0
8.52,1,3,0,1,1,0,1
6.19,0,2,0,1,2,2,1
9.32,0,0,1,0,2,2,1
6.6,2,1,1,1,0,3,1
4.95,2,0,0,0,1,2,0
4.03,3,0,1,1,3,1,1
8.42,2,2,0,0,1,0,1
5.61,3,0,1,0,0,0,0
6.35,1,0,0,0,2,0,0
9.05,1,1,1,0,3,1,1
6.99,0,0,0,1,1,3,1
7.06,0,2,0,0,3,2,1
7.88,2,1,1,0,0,3,1
6.33,3,2,0,0,0,2,1
5.4,1,2,1,1,2,1,1
8.35,0,1,1,0,1,3,1
7.73,2,0,0,1,0,0,1
5.45,1,1,1,0,2,0,1
8.32,2,1,0,0,3,1,1
8.92,3,2,0,0,3,2,1
9.68,1,0,0,0,0,3,1
5.57,0,1,1,0,3,3,1
8.69,2,3,1,1,2,1,1
5.24,0,0,1,1,3,0,0
9.93,2,2,0,1,1,3,1
9.32,1,1,1,0,2,3,1
4.07,3,3,0,0,1,3,1
5.29,1,1,1,0,1,0,0
4.27,1,3,0,1,3,3,1
7.28,1,3,0,0,0,1,1
8.97,0,1,1,1,1,2,1
7.56,3,1,1,1,0,0,1
9.41,1,0,0,0,2,0,1
4.22,0,2,1,1,3,3,1
9.57,3,0,0,0,3,3,1
7.17,1,3,1,1,2,0,1
6.51,3,3,0,0,2,0,1
